experiment,model,conditioning,prompt_type,count,overall_mean_physical_score,overall_std_physical_score,overall_mean_statistical_score,overall_std_statistical_score,overall_mean_depth_consistency,discard_rate,is_discarded,is_disappearance,is_duplicate,is_stillness
bouncing_ball,COSMOS,multi_frame_conditioning,enhanced,20,0.36210620820620537,0.3244917861270254,0.35257643034983,0.3791284063593101,0.963556059710933,0.4,0.4,0.0,0.4,0.0
bouncing_ball,COSMOS,multi_frame_conditioning,plain,20,0.36752166557361254,0.2939920513605227,0.3489177157559655,0.3539567972173917,0.9428410581286142,0.35,0.35,0.0,0.3,0.05
bouncing_ball,COSMOS,single_frame_conditioning,enhanced,20,0.5459497797542874,0.33515173228362527,0.045213212271060385,0.20219963223843734,0.9713742191853946,0.25,0.25,0.0,0.0,0.25
bouncing_ball,COSMOS,single_frame_conditioning,plain,20,0.27621170150619223,0.29768668093448547,0.17147556259938138,0.26934923258346855,0.8702422695421793,0.5,0.5,0.1,0.35,0.05
bouncing_ball,CogVideo,keyframe_interpolation,enhanced,20,0.5498354526385885,0.3035863686529545,0.2176026888863331,0.28407112889573266,0.9544038965869529,0.2,0.2,0.0,0.0,0.2
bouncing_ball,CogVideo,keyframe_interpolation,plain,20,0.5866869936350033,0.2811758659700673,0.25927425585408986,0.32590366691841016,0.9607853839002759,0.15,0.15,0.0,0.0,0.15
bouncing_ball,CogVideo,multi_frame_conditioning,enhanced,20,0.3314790374250885,0.3614527214726759,0.1097866334130078,0.26928697927117246,0.9060671684466028,0.5,0.5,0.05,0.05,0.4
bouncing_ball,CogVideo,multi_frame_conditioning,plain,20,0.38652568809439924,0.2444200853395393,0.0016417228126197447,0.007342007618459797,0.9605854374697873,0.25,0.25,0.0,0.05,0.2
bouncing_ball,CogVideo,single_frame_conditioning,enhanced,19,0.4573531660608437,0.29101766426497244,0.0493994200426948,0.1044760752512067,0.9448015612800987,0.21052631578947367,0.21052631578947367,0.0,0.05263157894736842,0.15789473684210525
bouncing_ball,CogVideo,single_frame_conditioning,plain,19,0.5086120903658509,0.16365693850289514,0.11868996486673089,0.18352616474189765,0.8959151622838168,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0
bouncing_ball,LTX,multi_frame_conditioning,enhanced,20,0.4757052450490499,0.18349225929414467,0.11830605938097402,0.21706170930753002,0.9636769782580747,0.05,0.05,0.0,0.0,0.05
bouncing_ball,LTX,multi_frame_conditioning,plain,20,0.3696025758209326,0.18270372904791676,0.04243039034379643,0.12237747519276625,0.9645787957997873,0.15,0.15,0.0,0.0,0.15
bouncing_ball,LTX,single_frame_conditioning,enhanced,20,0.33308150863203834,0.27837527274532015,0.06040189409553296,0.17341206764256492,0.9158890329488049,0.35,0.35,0.05,0.05,0.25
bouncing_ball,LTX,single_frame_conditioning,plain,20,0.4627183388655819,0.23675693549687835,0.07190947206575216,0.18166357757556797,0.9734887919365371,0.15,0.15,0.0,0.0,0.15
bouncing_ball,PyramidalFlow,multi_frame_conditioning,enhanced,20,0.6221756813887325,0.28770253585891065,0.1744810619299363,0.27303044270531424,0.9081314514048483,0.15,0.15,0.05,0.0,0.1
bouncing_ball,PyramidalFlow,multi_frame_conditioning,plain,19,0.6196577906293552,0.29767727334815297,0.12780376586199804,0.2530114401111951,0.9737413745939282,0.15789473684210525,0.15789473684210525,0.0,0.0,0.15789473684210525
bouncing_ball,PyramidalFlow,single_frame_conditioning,enhanced,20,0.6630766686660815,0.24610516113669526,0.11354541370719866,0.28056632059476366,0.9124618292314433,0.1,0.1,0.05,0.0,0.05
bouncing_ball,PyramidalFlow,single_frame_conditioning,plain,20,0.6016340701045875,0.2827270685583198,0.12924511200666405,0.2678054846145559,0.9603774201763666,0.15,0.15,0.0,0.0,0.15
bouncing_ball,real-world,none,none,10,0.9850614119389354,0.0046704277421124535,0.9855636375627762,0.015191602787979082,0.96659512754599,0.0,0.0,0.0,0.0,0.0
double_pendulum,COSMOS,multi_frame_conditioning,enhanced,79,0.5467281650899095,0.19466895030415465,0.8754170729511247,0.29689783481431664,0.9580784201415466,0.10126582278481013,0.10126582278481013,0.0,0.0,0.10126582278481013
double_pendulum,COSMOS,multi_frame_conditioning,plain,67,0.5275292466438531,0.21682336943307642,0.8343941253964414,0.3337320921193713,0.9565021808776267,0.13432835820895522,0.13432835820895522,0.0,0.0,0.13432835820895522
